Metabolite,AB01-C35-NRZ-2018-146,AB01-C7-NRZ-2016-121,AB01-C48-NRZ-2018-539,AB01-C15-NRZ-2017-096,AB01-C16-NRZ-2017-115,AB01-C32-NRZ-2018-097,AB01-C9-NRZ-2016-342,AB01-C19-NRZ-2017-214,AB01-C50-NRZ-2018-649,AB01-C10-NRZ-2017-039,AB01-C41-NRZ-2018-300,AB01-C43-NRZ-2018-313,AB01-C36-NRZ-2018-236,AB01-C8-NRZ-2016-141,AB01-C27-NRZ-2017-508,AB01-C22-NRZ-2017-322,AB01-C45-NRZ-2018-326,AB01-C47-NRZ-2018-529,AB01-C49-NRZ-2018-646,AB01-C33-NRZ-2017-101,AB01-C13-NRZ-2017-069,AB01-C28-NRZ-2017-534,AB01-C31-NRZ-2018-043,AB01-C30-NRZ-2017-546,AB01-C18-NRZ-2017-195,AB01-C24-NRZ-2017-362,AB01-C42-NRZ-2018-307,AB01-C20-NRZ-2017-282,AB01-C39-NRZ-2018-286,AB01-C23-NRZ-2017-346,AB01-C34-NRZ-2018-123,AB01-C40-NRZ-2018-290,AB01-C2-NRZ-2015-218,AB01-C37-NRZ-2018-272,AB01-C5-NRZ-2016-071,AB01-C14-NRZ-2017-076,AB01-C26-NRZ-2017-434,AB01-C25-NRZ-2017-381,AB01-C46-NRZ-2018-396,AB01-C3-NRZ-2016-032,AB01-C1-NRZ-2014-065,AB01-C38-NRZ-2018-281,AB01-C29-NRZ-2017-537,AB01-C6-NRZ-2016-108,AB01-C11-NRZ-2017-040,AB01-C17-NRZ-2017-134,AB01-C44-NRZ-2017-339,AB01-C4-NRZ-2016-063,AB01-C21-NRZ-2017-283
r351AORYZAER00026[c],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r358ANIDULANSR00868[c],-661.8094987,-670.3889429,-662.5746496,-659.9556585,-586.3785781,-627.37481,-646.2473517,-683.8998047,-795.146092,-669.9565585,-643.5242892,-692.3399051,-675.9301304,-648.6563894,-568.2068559,-669.9565585,-652.9962673,-611.0022001,-635.3782524,-808.7453027,-635.5070734,-667.1448483,-631.9148966,-631.0809366,-765.0135623,-618.2230931,-635.5070734,-664.9753592,-786.6682626,-663.9711669,-651.586323,-617.3340865,-636.189733,-707.4305104,-576.9974666,-786.6682626,-635.0909001,-620.0374604,-666.7105039,-796.4184823,-675.1977078,-651.8447268,-650.6854798,-655.1009564,-695.5274416,-635.257124,-656.8006959,-795.4794248,-685.78707
r360[e],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r365[c],0,0,,,0,0,,,,,0,,0,0,0,0,,,,0,0,0,0,,0,,0,0,,0,0,,,,0,0,0,0,,0,0,0,0,,,0,,0,0
r3686YCM606[lp],10.46791877,10.60357742,10.97491439,10.88523847,10.54360309,10.87682214,10.51035231,10.83632791,11.449818,10.61001854,10.90940455,10.87277133,11.11552463,10.51753924,10.34813812,10.61001854,10.97491439,10.18996644,10.87682214,11.52932162,10.87682214,11.08192824,10.98498712,10.20741986,11.4494288,10.84041503,10.87682214,10.83047487,11.61568731,10.97491439,10.74197916,10.36371893,10.42022936,11.00863349,10.42076251,11.61568731,10.51035231,10.18996644,11.08192824,11.11327318,11.08192824,10.97491439,10.46791877,10.77707349,11.00863349,10.83047487,11.08192824,11.01432938,10.88679523
r375[c],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r375[m],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r377[c],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r383[c],10.77138193,10.27945359,8.676783393,9.42475464,10.22417232,8.260398742,12.32258188,8.127372824,6.146764974,11.44149215,8.124717828,7.735895329,6.806815433,11.07155017,11.12063275,10.2869583,8.576111195,7.609289582,9.581385015,0,8.120877376,6.710871928,7.493927051,13.11574283,0,8.9633522,8.120877376,7.048966629,4.848782331,7.402383279,8.983117858,12.83330445,9.354102615,8.605110551,11.09843531,0,11.07961716,5.426460801,8.036810768,7.582876956,5.705989692,9.771436306,10.99872328,10.02279314,8.61296356,8.342048585,7.988398768,7.88680571,6.623657797
r389AORYZAER07676[c],10.60049769,10.43895408,8.011229422,9.147954241,9.243856762,7.500467632,10.41699451,6.877083414,11.51392133,10.47042409,8.119109491,10.8388097,7.447997599,10.44906463,8.745136811,10.47042409,7.818202511,8.718340885,7.828370524,8.551518676,7.816919765,7.312673704,7.186544839,8.926463331,9.993421543,6.925116996,7.816919765,9.711928171,8.634513914,7.887094549,9.371397301,10.01408946,6.255998866,9.144836049,9.915204109,9.047034331,10.33492235,8.959645303,7.351282099,12.59118647,8.956374855,7.92056167,10.55280883,9.690365693,9.157210488,7.8800256,7.24121179,12.98027622,7.598892002
r390AORYZAE[c],10.60049769,10.43895408,8.011229422,9.147954241,9.243856762,7.500467632,10.41699451,6.877083414,11.51392133,10.47042409,8.119109491,10.8388097,7.447997599,10.44906463,8.745136811,10.47042409,7.818202511,8.718340885,7.828370524,8.551518676,7.816919765,7.312673704,7.186544839,8.926463331,9.993421543,6.925116996,7.816919765,9.711928171,8.634513914,7.887094549,9.371397301,10.01408946,6.255998866,9.144836049,9.915204109,9.047034331,10.33492235,8.959645303,7.351282099,12.59118647,8.956374855,7.92056167,10.55280883,9.690365693,9.157210488,7.8800256,7.24121179,12.98027622,7.598892002
r391AORYZAE[c],10.60049769,10.43895408,8.011229422,9.147954241,9.243856762,7.500467632,10.41699451,6.877083414,11.51392133,10.47042409,8.119109491,10.8388097,7.447997599,10.44906463,8.745136811,10.47042409,7.818202511,8.718340885,7.828370524,8.551518676,7.816919765,7.312673704,7.186544839,8.926463331,9.993421543,6.925116996,7.816919765,9.711928171,8.634513914,7.887094549,9.371397301,10.01408946,6.255998866,9.144836049,9.915204109,9.047034331,10.33492235,8.959645303,7.351282099,12.59118647,8.956374855,7.920561669,10.55280883,9.690365693,9.157210488,7.8800256,7.24121179,12.98027622,7.598892002
