Metabolite,AB01-C35-NRZ-2018-146,AB01-C7-NRZ-2016-121,AB01-C48-NRZ-2018-539,AB01-C15-NRZ-2017-096,AB01-C16-NRZ-2017-115,AB01-C32-NRZ-2018-097,AB01-C9-NRZ-2016-342,AB01-C19-NRZ-2017-214,AB01-C50-NRZ-2018-649,AB01-C10-NRZ-2017-039,AB01-C41-NRZ-2018-300,AB01-C43-NRZ-2018-313,AB01-C36-NRZ-2018-236,AB01-C8-NRZ-2016-141,AB01-C27-NRZ-2017-508,AB01-C22-NRZ-2017-322,AB01-C45-NRZ-2018-326,AB01-C47-NRZ-2018-529,AB01-C49-NRZ-2018-646,AB01-C33-NRZ-2017-101,AB01-C13-NRZ-2017-069,AB01-C28-NRZ-2017-534,AB01-C31-NRZ-2018-043,AB01-C30-NRZ-2017-546,AB01-C18-NRZ-2017-195,AB01-C24-NRZ-2017-362,AB01-C42-NRZ-2018-307,AB01-C20-NRZ-2017-282,AB01-C39-NRZ-2018-286,AB01-C23-NRZ-2017-346,AB01-C34-NRZ-2018-123,AB01-C40-NRZ-2018-290,AB01-C2-NRZ-2015-218,AB01-C37-NRZ-2018-272,AB01-C5-NRZ-2016-071,AB01-C14-NRZ-2017-076,AB01-C26-NRZ-2017-434,AB01-C25-NRZ-2017-381,AB01-C46-NRZ-2018-396,AB01-C3-NRZ-2016-032,AB01-C1-NRZ-2014-065,AB01-C38-NRZ-2018-281,AB01-C29-NRZ-2017-537,AB01-C6-NRZ-2016-108,AB01-C11-NRZ-2017-040,AB01-C17-NRZ-2017-134,AB01-C44-NRZ-2017-339,AB01-C4-NRZ-2016-063,AB01-C21-NRZ-2017-283
r0738iAL1006R01940[m],,,,,0,,,,0,,0,,0,,,,,,,,,0,,,0,,,,,,,,,0,0,,,,,,,,,,0,,,,
r0739YCM606R01121[c],26.07156225,26.36633541,27.95075248,27.55500616,26.52114966,27.95876158,26.13025584,27.2270722,28.653031,26.36002258,27.88966635,27.05169409,28.41081862,26.36038091,26.23938629,26.36002258,28.17282995,26.50865492,27.90300997,29.6584343,27.9067814,28.36435593,28.37712033,25.26140082,28.8314409,28.08700467,27.9067814,27.45854422,29.57257405,28.03723677,27.15790981,26.0600288,26.91916881,27.75046646,26.00194341,29.57257405,26.21656018,26.3004014,28.35816551,27.674481,28.36233098,28.09667345,26.10477154,27.14550981,27.76742379,27.79790355,28.54580647,27.22529067,27.85320908
r0757YCM606R01185[c],6.577772513,5.972453916,7.116045454,7.036888336,6.838896112,7.405436525,6.993916477,7.758582041,6.727308295,7.033111988,7.616991819,6.732635978,7.140133233,6.56938878,6.339756759,6.575909992,7.347891776,7.329646842,7.236260798,6.479380547,6.633769325,7.153726919,7.838829639,6.730428968,7.181123035,6.876368942,6.633769325,5.928738507,7.339783203,7.16023235,7.048371713,7.174431347,6.810379475,7.441996169,6.68532708,7.339783203,7.057138295,7.153706344,7.57625821,6.689584736,6.846938619,7.72801005,6.616906428,7.10968813,7.032505631,6.846753196,4.233367375,7.11024997,6.672003972
r0758YCM606[c],0.157136648,0.159313365,0.166150203,0.163982606,0.15934864,0.165386319,0.157233845,0.164061842,0.173390126,0.159409864,0.165773331,0.162892964,0.169693334,0.159394867,0.156256722,0.159409864,0.166317158,0.156390055,0.165400201,0.176031151,0.164188929,0.169207136,0.167809642,0.15335045,0.173634815,0.16573017,0.164188929,0.16438064,0.177245755,0.16708878,0.161593173,0.155660293,0.157839017,0.167293728,0.156723093,0.177245755,0.157322397,0.156166732,0.168502624,0.167941128,0.168961369,0.166261092,0.157373667,0.16301357,0.166400784,0.16527417,0.16870461,0.16584244,0.165733886
r0759YCM606R03443[m],23.98878608,26.37362662,24.22317389,23.83221148,18.89979062,23.89231472,23.46979095,25.45884425,25.49689145,26.29076121,23.76630514,22.24346191,25.46540165,27.35598693,18.4651277,24.21148854,24.3501068,21.5418444,23.80636558,0,23.84216126,25.20551351,24.77602132,24.11817889,26.60617604,24.46079294,23.84216126,0,27.75282954,24.3727459,23.62747458,22.71670082,0,24.80033755,17.90373338,27.75282954,23.21527793,22.89143097,25.18427111,32.91422528,0,24.21592457,23.54123735,22.54939137,24.57565433,23.9353816,25.1395816,32.66270245,0
r0760YCM606R02058[c],16.83478274,16.71494642,22.61956945,22.04085222,22.40829841,23.35808061,16.67224921,22.85310831,23.03895174,21.23627542,22.80082176,23.40052688,23.00751683,16.82466183,22.5302139,21.23627542,23.36738045,22.04380133,22.91961545,24.67541289,22.93629379,23.00522142,23.59781954,16.60013195,23.27697381,23.91803927,22.93629379,21.50065954,24.091989,22.80452027,21.7675753,21.36082492,23.85175937,22.23567693,21.81947472,24.12439232,16.84440752,21.49602903,22.99109891,22.17136462,22.5185684,23.18713064,21.23286297,21.93864176,22.27408062,23.42333002,23.47007582,21.91331187,22.80458807
r0761YCM606R00259[m],37.06226407,40.05541932,26.50175635,25.07621105,24.15659115,27.57882785,37.12992048,28.01227028,24.89731228,39.96488069,27.17934055,26.22695391,27.40407833,39.69673549,25.4422309,37.05092237,27.01223849,26.6877398,27.64443829,28.43780672,27.67003342,27.57305336,28.25281168,38.35514591,26.31472601,28.32092162,27.67003342,24.40360054,27.81526792,26.85540991,24.90361451,37.79729569,27.60658772,24.82627909,23.27850607,27.76897133,37.69038204,26.08662269,27.54878866,39.87476525,25.86524956,26.73750054,37.15306342,24.11887913,24.61353272,26.71950945,27.75940569,39.82682547,26.68117915
r0762YCM606R01959[c],5.956771496,5.988866857,6.679929595,6.535341849,6.145654381,7.064666195,5.954542062,4.377974329,6.652223303,5.97044804,6.804381836,4.364609071,6.786837747,5.947250249,6.314225415,5.97044804,7.007363132,6.640858568,6.889067632,7.363385671,6.873373864,6.808388782,7.133536738,3.877992696,6.762933545,7.250523922,6.873373864,6.513786289,7.053436317,6.770080616,6.411918518,6.145815311,6.883517748,6.432309163,5.947132991,7.053436317,6.04969304,6.398551041,6.801897086,6.107063165,6.879572198,6.929267276,5.998840346,6.429140185,6.450162186,7.056224903,7.02684293,6.116837468,6.793111526
r0765YCM606R00104[c],4.044272508,4.655152701,5.040826011,4.97760413,4.65842389,5.149569853,4.68122272,5.117374409,5.017552339,4.670066057,5.075390746,4.992678205,5.092161757,4.659961869,4.070155248,4.670066057,5.161758959,4.99951083,5.108120287,5.073308092,5.113379528,5.117627425,5.216779956,4.739947428,5.093391813,4.533411746,5.113379528,4.044482661,5.216328932,5.099639048,4.317029428,4.117643383,4.637781323,4.938982713,4.537129377,5.216328932,4.723265521,4.904493656,5.094330844,4.721284255,4.78280274,5.130675419,4.048940294,4.928243377,4.946900514,4.457610867,5.202450977,4.126748011,4.744349728
r0768YCM606R00257[c],5.374979195,6.644054962,7.060513885,7.091273965,6.691781762,7.30349994,5.640618154,7.238295586,7.074677671,5.924178396,7.12190799,7.094493555,6.510695286,5.932664061,5.884245731,5.924178396,7.319401557,6.922900796,7.244937741,7.245607264,7.250896136,6.504294023,7.388264298,6.74203489,7.215953872,6.517204805,7.158707996,5.705036869,7.455191594,7.176049723,6.195049364,5.417189383,6.650974838,6.951830787,6.561586707,7.30733173,6.729324467,6.636104321,7.257093366,5.870563196,6.619356036,7.161026031,5.378596165,7.00815488,6.960649392,6.318381432,7.290947114,5.511686618,6.756238073
