Metabolite,AB01-C35-NRZ-2018-146,AB01-C7-NRZ-2016-121,AB01-C48-NRZ-2018-539,AB01-C15-NRZ-2017-096,AB01-C16-NRZ-2017-115,AB01-C32-NRZ-2018-097,AB01-C9-NRZ-2016-342,AB01-C19-NRZ-2017-214,AB01-C50-NRZ-2018-649,AB01-C10-NRZ-2017-039,AB01-C41-NRZ-2018-300,AB01-C43-NRZ-2018-313,AB01-C36-NRZ-2018-236,AB01-C8-NRZ-2016-141,AB01-C27-NRZ-2017-508,AB01-C22-NRZ-2017-322,AB01-C45-NRZ-2018-326,AB01-C47-NRZ-2018-529,AB01-C49-NRZ-2018-646,AB01-C33-NRZ-2017-101,AB01-C13-NRZ-2017-069,AB01-C28-NRZ-2017-534,AB01-C31-NRZ-2018-043,AB01-C30-NRZ-2017-546,AB01-C18-NRZ-2017-195,AB01-C24-NRZ-2017-362,AB01-C42-NRZ-2018-307,AB01-C20-NRZ-2017-282,AB01-C39-NRZ-2018-286,AB01-C23-NRZ-2017-346,AB01-C34-NRZ-2018-123,AB01-C40-NRZ-2018-290,AB01-C2-NRZ-2015-218,AB01-C37-NRZ-2018-272,AB01-C5-NRZ-2016-071,AB01-C14-NRZ-2017-076,AB01-C26-NRZ-2017-434,AB01-C25-NRZ-2017-381,AB01-C46-NRZ-2018-396,AB01-C3-NRZ-2016-032,AB01-C1-NRZ-2014-065,AB01-C38-NRZ-2018-281,AB01-C29-NRZ-2017-537,AB01-C6-NRZ-2016-108,AB01-C11-NRZ-2017-040,AB01-C17-NRZ-2017-134,AB01-C44-NRZ-2017-339,AB01-C4-NRZ-2016-063,AB01-C21-NRZ-2017-283
r0311iAL1006R03332[er],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r0312YCM606R00897[c],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r0317YCM606R05640[c],2.951433221,2.989610272,3.116119641,3.082612908,2.973468831,3.08085747,2.953433794,3.064499239,3.238793801,2.991426302,3.091306196,3.042302789,3.167118458,2.994425558,2.912023169,2.991426302,3.117159855,2.909913932,3.082199356,3.279651521,3.082199356,3.157444346,3.121489573,2.8734127,3.241225768,3.081389213,3.082199356,3.076135289,3.305945891,3.117159855,3.040377027,2.916386643,2.934453499,3.12408708,2.926139239,3.305945891,2.953433794,2.909913932,3.157444346,3.160421781,3.156751744,3.116119641,2.951433221,3.040642487,3.12408708,3.074759582,3.157444346,3.1012397,3.090745129
r0322YCM606R02568[c],-33.19120007,-33.56668166,-33.43514334,-33.58014985,-37.18768949,-35.0307999,-33.64904867,-33.82879444,-32.27355171,-33.42379762,-34.14926992,-38.12344379,-33.70040603,-32.89120433,-38.83621084,-33.42379762,-34.90281529,-33.84465721,-34.29454058,-35.09290686,-34.04510646,-33.98646373,-35.50149237,-34.58767689,-33.10021058,-35.04347903,-34.04510646,-29.88344967,-34.03155002,-33.95442938,-32.19960884,-34.63697699,,-33.0765052,-35.93182508,-34.03155002,-34.12262453,-32.83176542,-33.97079396,-31.41556394,-31.86725707,-34.54721091,-33.40574218,-32.6263875,-33.12029948,-33.82406529,-34.50822634,-31.62419289,-33.51953992
r0323YCM606R00875[c],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r0326YCM606R01663[c],,,,,,,,,,,,,,,,,,,,,,,,,,-0.061116234,,,,,,,,,,,,,,,,,,,,,,,
r0328YCM606R02556[c],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r0333YCM606R02484[c],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r0333YCM606R02484[m],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r0338YCM606[c_m],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
