Metabolite,AB01-C35-NRZ-2018-146,AB01-C7-NRZ-2016-121,AB01-C48-NRZ-2018-539,AB01-C15-NRZ-2017-096,AB01-C16-NRZ-2017-115,AB01-C32-NRZ-2018-097,AB01-C9-NRZ-2016-342,AB01-C19-NRZ-2017-214,AB01-C50-NRZ-2018-649,AB01-C10-NRZ-2017-039,AB01-C41-NRZ-2018-300,AB01-C43-NRZ-2018-313,AB01-C36-NRZ-2018-236,AB01-C8-NRZ-2016-141,AB01-C27-NRZ-2017-508,AB01-C22-NRZ-2017-322,AB01-C45-NRZ-2018-326,AB01-C47-NRZ-2018-529,AB01-C49-NRZ-2018-646,AB01-C33-NRZ-2017-101,AB01-C13-NRZ-2017-069,AB01-C28-NRZ-2017-534,AB01-C31-NRZ-2018-043,AB01-C30-NRZ-2017-546,AB01-C18-NRZ-2017-195,AB01-C24-NRZ-2017-362,AB01-C42-NRZ-2018-307,AB01-C20-NRZ-2017-282,AB01-C39-NRZ-2018-286,AB01-C23-NRZ-2017-346,AB01-C34-NRZ-2018-123,AB01-C40-NRZ-2018-290,AB01-C2-NRZ-2015-218,AB01-C37-NRZ-2018-272,AB01-C5-NRZ-2016-071,AB01-C14-NRZ-2017-076,AB01-C26-NRZ-2017-434,AB01-C25-NRZ-2017-381,AB01-C46-NRZ-2018-396,AB01-C3-NRZ-2016-032,AB01-C1-NRZ-2014-065,AB01-C38-NRZ-2018-281,AB01-C29-NRZ-2017-537,AB01-C6-NRZ-2016-108,AB01-C11-NRZ-2017-040,AB01-C17-NRZ-2017-134,AB01-C44-NRZ-2017-339,AB01-C4-NRZ-2016-063,AB01-C21-NRZ-2017-283
t_C00060_c_er,9.675181991,7.053180623,9.546084609,9.481796875,9.121160479,9.599614715,9.546512728,8.074884189,9.013874873,9.607813214,9.545939433,6.268598708,9.514868655,9.551565899,6.9766079,9.607813214,9.546723542,9.875056422,9.559211871,8.586431887,9.54733174,9.531337679,9.577735483,8.256276128,9.363678505,9.735325518,9.54733174,8.649011967,9.445429962,9.57647371,9.542363897,9.66815921,9.020059376,9.456096765,9.125503957,9.445429962,9.551949656,9.86656542,9.521881549,9.320157576,8.902582208,9.521547004,9.668969634,9.463940464,9.452907613,9.616890552,9.261167782,9.36803992,8.943015169
t_C00061_c_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_C00067_c_m,32.3018283,32.73400139,35.69269092,34.81154212,68.92571068,36.01957862,31.80025329,36.58107534,36.69782489,32.65815846,35.45105249,66.25857003,36.33042453,31.85393238,68.74724094,32.65815846,35.97289127,34.35630102,35.53616021,40.39086834,35.55278227,36.24849367,36.43586279,32.18522694,37.08293461,36.91010669,35.55278227,36.35911363,38.39136208,35.8728867,34.5401196,31.9503676,65.89634661,35.14336141,68.245982,38.39136208,31.87339117,34.00602041,36.19244922,32.44373391,37.74787903,35.8243054,32.37864925,34.11959901,35.124606,35.86537358,36.3522287,31.8800078,37.83825994
t_C00068_c_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_C00077_c_e,21.19129714,21.02702595,24.47135668,23.84065841,26.59667407,24.87269419,20.96286237,25.3884986,24.57855257,21.21076232,24.41077994,25.08578437,24.82489473,20.98203503,26.63673417,21.21076232,24.67704109,24.56177723,24.50634502,52.63648226,24.53454669,24.80696833,25.08653179,21.77934839,25.3016227,25.59870114,24.53454669,44.17460598,26.22617498,24.60363154,23.79099579,21.26851477,48.76903522,24.04435012,26.22004866,26.22617498,21.01283992,24.30355872,24.7651038,21.3028981,44.9756683,24.56796986,21.24400588,23.32185101,24.03013056,24.83640998,25.04194449,21.19476396,51.73303601
t_C00091_m_e,4.329858084,4.351918727,4.846568061,4.729018925,4.143702098,4.871443097,4.22535489,4.969085296,4.95269147,4.341606583,4.815047662,4.564704563,4.929621683,4.233477737,4.145426324,4.341606583,4.884446484,4.679631066,4.82712234,4.964616463,4.829369367,4.963118638,4.93247664,4.255897778,5.057334314,4.972490964,4.829369367,4.472583074,5.190343252,4.913783122,4.694831252,4.241011858,4.311703694,4.770096377,4.061772533,5.190343252,4.235145041,4.63227896,4.912256491,4.4745911,4.643416959,4.864360148,4.297209451,4.640526169,4.767550658,4.854810074,4.932587525,4.450602812,4.683406727
t_C00093_m_c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_C00094_c_e,11.75683189,11.75683189,11.75683189,11.75683189,11.75683189,11.75683189,11.75683189,11.75683189,11.75683189,11.75683189,11.75683189,11.75683189,11.75683189,11.75683189,11.75683189,11.75683189,11.75683189,11.75683189,11.75683189,11.75683189,11.75683189,11.75683189,11.75683189,11.75683189,11.75683189,11.75683189,11.75683189,11.75683189,11.75683189,11.75683189,11.75683189,11.75683189,11.75683189,11.75683189,11.75683189,11.75683189,11.75683189,11.75683189,11.75683189,11.75683189,11.75683189,11.75683189,11.75683189,11.75683189,11.75683189,11.75683189,11.75683189,11.75683189,11.75683189
t_C00099_c_e,10.92563408,10.92563408,10.92563408,10.92563408,10.92563408,10.92563408,10.92563408,10.92563408,10.92563408,10.92563408,10.92563408,10.92563408,10.92563408,10.92563408,10.92563408,10.92563408,10.92563408,10.92563408,10.92563408,10.92563408,10.92563408,10.92563408,10.92563408,10.92563408,10.92563408,10.92563408,10.92563408,10.92563408,10.92563408,10.92563408,10.92563408,10.92563408,10.92563408,10.92563408,10.92563408,10.92563408,10.92563408,10.92563408,10.92563408,10.92563408,10.92563408,10.92563408,10.92563408,10.92563408,10.92563408,10.92563408,10.92563408,10.92563408,10.92563408
t_C00108_c_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
